GeneID,TF_Family,TFID
Zm00001d032213,bHLH,bHLH42
Zm00001d033267,bHLH,bHLH43
Zm00001d009999,bHLH,bHLH44
Zm00001d035155,bHLH,bHLH45
Zm00001d039272,bHLH,bHLH46
Zm00001d034298,bHLH,bHLH47
Zm00001d034596,bHLH,bHLH48
Zm00001d027496,bHLH,bHLH49
Zm00001d037098,bHLH,bHLH5
Zm00001d027497,bHLH,bHLH50
Zm00001d053895,bHLH,bHLH51
Zm00001d017677,bHLH,bHLH53
Zm00001d011847,bHLH,bHLH54
Zm00001d012067,bHLH,bHLH55
Zm00001d028504,bHLH,bHLH56
Zm00001d043706,bHLH,bHLH57
Zm00001d041351,bHLH,bHLH58
Zm00001d007536,bHLH,bHLH59
Zm00001d006022,bHLH,bHLH6
Zm00001d013130,bHLH,bHLH60
Zm00001d049721,bHLH,bHLH61
Zm00001d008853,bHLH,bHLH62
Zm00001d047878,bHLH,bHLH63
Zm00001d031260,bHLH,bHLH64
Zm00001d008205,bHLH,bHLH65
Zm00001d006565,bHLH,bHLH66
Zm00001d042989,bHLH,bHLH67
Zm00001d040536,bHLH,bHLH68
Zm00001d046759,bHLH,bHLH69
Zm00001d026317,bHLH,bHLH7
Zm00001d039459,bHLH,bHLH70
Zm00001d033412,bHLH,bHLH71
Zm00001d016354,bHLH,bHLH72
Zm00001d007768,bHLH,bHLH73
Zm00001d027855,bHLH,bHLH74
Zm00001d041350,bHLH,bHLH75
Zm00001d040148,bHLH,bHLH76
Zm00001d011212,bHLH,bHLH77
Zm00001d012642,bHLH,bHLH79
Zm00001d052728,bHLH,bHLH8
Zm00001d006578,bHLH,bHLH80
Zm00001d031561,bHLH,bHLH81
Zm00001d009778,bHLH,bHLH82
Zm00001d040152,bHLH,bHLH83
Zm00001d027859,bHLH,bHLH84
Zm00001d020826,bHLH,bHLH86
Zm00001d020490,bHLH,bHLH87
Zm00001d000291,bHLH,bHLH88
Zm00001d017804,bHLH,bHLH89
Zm00001d047999,bHLH,bHLH9
Zm00001d021748,bHLH,bHLH90
Zm00001d047017,bHLH,bHLH91
Zm00001d033729,bHLH,bHLH93
Zm00001d044272,bHLH,bHLH94
Zm00001d006150,bHLH,bHLH95
Zm00001d007382,bHLH,bHLH96
Zm00001d048309,bHLH,bHLH97
Zm00001d046346,bHLH,bHLH98
Zm00001d009013,bHLH,bHLH99
Zm00001d018971,bZIP,bZIP1
Zm00001d023507,bZIP,bZIP10
Zm00001d044940,bZIP,bZIP100
Zm00001d038311,bZIP,bZIP101
Zm00001d043117,bZIP,bZIP102
Zm00001d016732,bZIP,bZIP103
Zm00001d015421,bZIP,bZIP104
Zm00001d036400,bZIP,bZIP106
Zm00001d024160,bZIP,bZIP107
Zm00001d010667,bZIP,bZIP108
Zm00001d023424,bZIP,bZIP109
Zm00001d042777,bZIP,bZIP11
Zm00001d053162,bZIP,bZIP110
Zm00001d030995,bZIP,bZIP111
Zm00001d046718,bZIP,bZIP112
Zm00001d026398,bZIP,bZIP113
Zm00001d027461,bZIP,bZIP114
Zm00001d028372,bZIP,bZIP115
Zm00001d010168,bZIP,bZIP116
Zm00001d039383,bZIP,bZIP117
Zm00001d039206,bZIP,bZIP118
Zm00001d049135,bZIP,bZIP119
Zm00001d035440,bZIP,bZIP12
Zm00001d053442,bZIP,bZIP120
Zm00001d003180,bZIP,bZIP121
Zm00001d008734,bZIP,bZIP122
Zm00001d005884,bZIP,bZIP123
Zm00001d047519,bZIP,bZIP124
Zm00001d037170,bZIP,bZIP125
Zm00001d031272,bZIP,bZIP126
Zm00001d031723,bZIP,bZIP127
Zm00001d034457,bZIP,bZIP128
Zm00001d017911,bZIP,bZIP13
Zm00001d015118,bZIP,bZIP14
Zm00001d036392,bZIP,bZIP15
Zm00001d052807,bZIP,bZIP16
Zm00001d046937,bZIP,bZIP17
Zm00001d039065,bZIP,bZIP18
Zm00001d043908,bZIP,bZIP19
Zm00001d022613,bZIP,bZIP2
Zm00001d012719,bZIP,bZIP20
Zm00001d044546,bZIP,bZIP21
Zm00001d021191,bZIP,bZIP22
Zm00001d004857,bZIP,bZIP23
Zm00001d028879,bZIP,bZIP24
Zm00001d010658,bZIP,bZIP25
Zm00001d034199,bZIP,bZIP26
Zm00001d002143,bZIP,bZIP27
Zm00001d015846,bZIP,bZIP28
Zm00001d034571,bZIP,bZIP29
Zm00001d041142,bZIP,bZIP3
Zm00001d019166,bZIP,bZIP30
Zm00001d031194,bZIP,bZIP31
Zm00001d024285,bZIP,bZIP32
Zm00001d012553,bZIP,bZIP33
Zm00001d046664,bZIP,bZIP35
Zm00001d015664,bZIP,bZIP36
Zm00001d024041,bZIP,bZIP37
Zm00001d018571,bZIP,bZIP38
Zm00001d030617,bZIP,bZIP39
Zm00001d018178,bZIP,bZIP4
Zm00001d005578,bZIP,bZIP40
Zm00001d034447,bZIP,bZIP41
Zm00001d040500,bZIP,bZIP42
Zm00001d052725,bZIP,bZIP43
Zm00001d012273,bZIP,bZIP44
Zm00001d030577,bZIP,bZIP45
Zm00001d006157,bZIP,bZIP46
Zm00001d021189,bZIP,bZIP47
Zm00001d041604,bZIP,bZIP48
Zm00001d031790,bZIP,bZIP49
Zm00001d025638,bZIP,bZIP5
Zm00001d053703,bZIP,bZIP50
Zm00001d018729,bZIP,bZIP51
Zm00001d028936,bZIP,bZIP52
Zm00001d043420,bZIP,bZIP53
Zm00001d022542,bZIP,bZIP54
Zm00001d013172,bZIP,bZIP55
Zm00001d043153,bZIP,bZIP56
Zm00001d037317,bZIP,bZIP57
Zm00001d022442,bZIP,bZIP58
Zm00001d037360,bZIP,bZIP59
Zm00001d039658,bZIP,bZIP6
Zm00001d015153,bZIP,bZIP60
Zm00001d015743,bZIP,bZIP61
Zm00001d031697,bZIP,bZIP62
Zm00001d048455,bZIP,bZIP64
Zm00001d006127,bZIP,bZIP65
Zm00001d014710,bZIP,bZIP66
Zm00001d050018,bZIP,bZIP68
Zm00001d017260,bZIP,bZIP69
Zm00001d020938,bZIP,bZIP7
Zm00001d046751,bZIP,bZIP70
Zm00001d053967,bZIP,bZIP71
Zm00001d008225,bZIP,bZIP72
Zm00001d038574,bZIP,bZIP73
Zm00001d020823,bZIP,bZIP74
Zm00001d012296,bZIP,bZIP75
Zm00001d036736,bZIP,bZIP76
Zm00001d047644,bZIP,bZIP77
Zm00001d029711,bZIP,bZIP78
Zm00001d052543,bZIP,bZIP79
Zm00001d041920,bZIP,bZIP8
Zm00001d046402,bZIP,bZIP80
Zm00001d052717,bZIP,bZIP81
Zm00001d005962,bZIP,bZIP82
Zm00001d014795,bZIP,bZIP83
Zm00001d053988,bZIP,bZIP84
Zm00001d006027,bZIP,bZIP85
Zm00001d005244,bZIP,bZIP86
Zm00001d038296,bZIP,bZIP87
Zm00001d025589,bZIP,bZIP88
Zm00001d016154,bZIP,bZIP89
Zm00001d020025,bZIP,bZIP9
Zm00001d012294,bZIP,bZIP90
Zm00001d007042,bZIP,bZIP91
Zm00001d022550,bZIP,bZIP92
Zm00001d046564,bZIP,bZIP93
Zm00001d013074,bZIP,bZIP94
Zm00001d042721,bZIP,bZIP95
Zm00001d010638,bZIP,bZIP96
Zm00001d051739,bZIP,bZIP97
Zm00001d029064,bZIP,bZIP98
Zm00001d043992,bZIP,bZIP99
Zm00001d046305,BZR,BZR1
Zm00001d021927,BZR,BZR10
Zm00001d053543,BZR,BZR3
Zm00001d019756,BZR,BZR4
Zm00001d053975,BZR,BZR5
Zm00001d039635,BZR,BZR6
Zm00001d006677,BZR,BZR7
Zm00001d016231,BZR,BZR8
Zm00001d027587,BZR,BZR9
Zm00001d010842,C2H2,C2H1
Zm00001d016793,C2H2,C2H133
Zm00001d047976,C2H2,C2H2
Zm00001d028361,C2H2,C2H25
Zm00001d035514,C2H2,C2H26
Zm00001d016911,C2H2,C2H3
Zm00001d023558,C2H2,C2H35
Zm00001d035701,C2H2,C2H4
Zm00001d026684,C2H2,C2H46
Zm00001d034783,C2H2,C2H5
Zm00001d053841,C3H,C3H1
Zm00001d004541,C3H,C3H10
Zm00001d049223,C3H,C3H11
Zm00001d040301,C3H,C3H12
Zm00001d042363,C3H,C3H13
Zm00001d026587,C3H,C3H14
Zm00001d006619,C3H,C3H15
Zm00001d001933,C3H,C3H16
Zm00001d033610,C3H,C3H17
Zm00001d004651,C3H,C3H19
Zm00001d044260,C3H,C3H2
Zm00001d022427,C3H,C3H20
Zm00001d044074,C3H,C3H21
Zm00001d008323,C3H,C3H23
Zm00001d024703,C3H,C3H24
Zm00001d036796,C3H,C3H26
Zm00001d013497,C3H,C3H27
Zm00001d008322,C3H,C3H28
Zm00001d014705,C3H,C3H29
Zm00001d039101,C3H,C3H3
Zm00001d034710,C3H,C3H30
Zm00001d024534,C3H,C3H31
Zm00001d021831,C3H,C3H32
Zm00001d017595,C3H,C3H34
Zm00001d040302,C3H,C3H35
Zm00001d009570,C3H,C3H36
Zm00001d008735,C3H,C3H37
Zm00001d053682,C3H,C3H38
Zm00001d037769,C3H,C3H39
Zm00001d007784,C3H,C3H4
Zm00001d020954,C3H,C3H40
Zm00001d028828,C3H,C3H41
Zm00001d008356,C3H,C3H42
Zm00001d053397,C3H,C3H43
Zm00001d041639,C3H,C3H44
Zm00001d029010,C3H,C3H45
Zm00001d011355,C3H,C3H46
Zm00001d008812,C3H,C3H47
Zm00001d044667,C3H,C3H48
Zm00001d012049,C3H,C3H49
Zm00001d045887,C3H,C3H5
Zm00001d052385,C3H,C3H50
Zm00001d033553,C3H,C3H51
Zm00001d026543,C3H,C3H52
Zm00001d039014,C3H,C3H53
Zm00001d023636,C3H,C3H54
Zm00001d047539,C3H,C3H6
Zm00001d010956,C3H,C3H7
Zm00001d049516,C3H,C3H8
Zm00001d011470,C3H,C3H9
Zm00001d013501,CCAAT-HAP2,CA2P1
Zm00001d013676,CCAAT-HAP2,CA2P10
Zm00001d027874,CCAAT-HAP2,CA2P11
Zm00001d041491,CCAAT-HAP2,CA2P12
Zm00001d018255,CCAAT-HAP2,CA2P13
Zm00001d007882,CCAAT-HAP2,CA2P14
Zm00001d033602,CCAAT-HAP2,CA2P16
Zm00001d029489,CCAAT-HAP2,CA2P3
Zm00001d006835,CCAAT-HAP2,CA2P4
Zm00001d031092,CCAAT-HAP2,CA2P5
Zm00001d033215,CCAAT-HAP2,CA2P6
Zm00001d026305,CCAAT-HAP2,CA2P7
Zm00001d022109,CCAAT-HAP2,CA2P8
Zm00001d033773,CCAAT-HAP2,CA2P9
Zm00001d042968,CCAAT-HAP3,CA3P1
Zm00001d001775,CCAAT-HAP3,CA3P2
Zm00001d042197,CCAAT-HAP3,CA3P3
Zm00001d022099,CCAAT-HAP3,CA3P4
Zm00001d026648,CCAAT-HAP5,CA5P1
Zm00001d038557,CCAAT-HAP5,CA5P10
Zm00001d028432,CCAAT-HAP5,CA5P11
Zm00001d005993,CCAAT-HAP5,CA5P12
Zm00001d031310,CCAAT-HAP5,CA5P13
Zm00001d052838,CCAAT-HAP5,CA5P14
Zm00001d039581,CCAAT-HAP5,CA5P15
Zm00001d020874,CCAAT-HAP5,CA5P16
Zm00001d023466,CCAAT-HAP5,CA5P17
Zm00001d012133,CCAAT-HAP5,CA5P2
Zm00001d036648,CCAAT-HAP5,CA5P3
Zm00001d034872,CCAAT-HAP5,CA5P4
Zm00001d024230,CCAAT-HAP5,CA5P5
Zm00001d012134,CCAAT-HAP5,CA5P6
Zm00001d046967,CCAAT-HAP5,CA5P7
Zm00001d007436,CCAAT-HAP5,CA5P8
Zm00001d052621,CCAAT-HAP5,CA5P9
Zm00001d017898,CCAAT-DR1,CADR1
Zm00001d032328,CCAAT-DR1,CADR11
Zm00001d045772,CCAAT-DR1,CADR12
Zm00001d019101,CCAAT-DR1,CADR14
Zm00001d010574,CCAAT-DR1,CADR15
Zm00001d019865,CCAAT-DR1,CADR16
Zm00001d038397,CCAAT-DR1,CADR17
Zm00001d042196,CCAAT-DR1,CADR2
Zm00001d050242,CCAAT-DR1,CADR3
Zm00001d039957,CCAAT-DR1,CADR4
Zm00001d049485,CCAAT-DR1,CADR5
Zm00001d006813,CCAAT-DR1,CADR6
Zm00001d051697,CCAAT-DR1,CADR7
Zm00001d012445,CCAAT-DR1,CADR8
Zm00001d030151,CCAAT-DR1,CADR9
Zm00001d003958,CAMTA,CAMTA1
Zm00001d021516,CAMTA,CAMTA2
Zm00001d042313,CAMTA,CAMTA3
Zm00001d028007,CAMTA,CAMTA4
Zm00001d025235,CAMTA,CAMTA5
Zm00001d045735,C2C2-CO-like,COL1
Zm00001d037327,C2C2-CO-like,COL10
Zm00001d003162,C2C2-CO-like,COL11
Zm00001d017939,C2C2-CO-like,COL12
Zm00001d046925,C2C2-CO-like,COL13
Zm00001d033719,C2C2-CO-like,COL2
Zm00001d017176,C2C2-CO-like,COL3
Zm00001d045661,C2C2-CO-like,COL4
Zm00001d017885,C2C2-CO-like,COL5
Zm00001d045804,C2C2-CO-like,COL6
Zm00001d025770,C2C2-CO-like,COL7
Zm00001d013443,C2C2-CO-like,COL8
Zm00001d051684,C2C2-CO-like,COL9
Zm00001d018930,CPP,CPP1
Zm00001d041445,CPP,CPP10
Zm00001d043378,CPP,CPP11
Zm00001d037461,CPP,CPP12
Zm00001d041444,CPP,CPP13
Zm00001d031008,CPP,CPP2
Zm00001d010713,CPP,CPP3
Zm00001d038660,CPP,CPP4
Zm00001d031009,CPP,CPP5
Zm00001d033274,CPP,CPP6
Zm00001d012688,CPP,CPP7
Zm00001d015990,CPP,CPP9
Zm00001d028578,CSD,CSD1
Zm00001d053908,CSD,CSD2
Zm00001d052018,DBP,DBP1
Zm00001d018394,DBP,DBP2
Zm00001d045128,DBP,DBP3
Zm00001d046450,DBP,DBP4
Zm00001d038693,C2C2-Dof,DOF10
Zm00001d030727,C2C2-Dof,DOF11
Zm00001d013783,C2C2-Dof,DOF12
Zm00001d032578,C2C2-Dof,DOF13
Zm00001d024790,C2C2-Dof,DOF15
Zm00001d020837,C2C2-Dof,DOF16
Zm00001d051439,C2C2-Dof,DOF17
Zm00001d030897,C2C2-Dof,DOF18
Zm00001d042736,C2C2-Dof,DOF19
Zm00001d005970,C2C2-Dof,DOF2
Zm00001d038281,C2C2-Dof,DOF20
Zm00001d027846,C2C2-Dof,DOF21
Zm00001d017575,C2C2-Dof,DOF22
Zm00001d026096,C2C2-Dof,DOF23
Zm00001d013200,C2C2-Dof,DOF24
Zm00001d034163,C2C2-Dof,DOF25
Zm00001d013724,C2C2-Dof,DOF26
Zm00001d034651,C2C2-Dof,DOF27
Zm00001d034653,C2C2-Dof,DOF28
Zm00001d017788,C2C2-Dof,DOF29
Zm00001d005100,C2C2-Dof,DOF3
Zm00001d028625,C2C2-Dof,DOF30
Zm00001d012963,C2C2-Dof,DOF31
Zm00001d033093,C2C2-Dof,DOF32
Zm00001d006463,C2C2-Dof,DOF34
Zm00001d035651,C2C2-Dof,DOF35
Zm00001d029512,C2C2-Dof,DOF36
Zm00001d043402,C2C2-Dof,DOF37
Zm00001d012280,C2C2-Dof,DOF38
Zm00001d033325,C2C2-Dof,DOF39
Zm00001d043904,C2C2-Dof,DOF4
Zm00001d032999,C2C2-Dof,DOF40
Zm00001d026628,C2C2-Dof,DOF41
Zm00001d017900,C2C2-Dof,DOF42
Zm00001d051577,C2C2-Dof,DOF43
Zm00001d010740,C2C2-Dof,DOF44
Zm00001d012703,C2C2-Dof,DOF45
Zm00001d041549,C2C2-Dof,DOF46
Zm00001d011058,C2C2-Dof,DOF5
Zm00001d040362,C2C2-Dof,DOF6
Zm00001d039482,C2C2-Dof,DOF7
Zm00001d040455,C2C2-Dof,DOF8
Zm00001d051700,C2C2-Dof,DOF9
Zm00001d032741,E2F-DP,E2F1
Zm00001d045365,E2F-DP,E2F10
Zm00001d023465,E2F-DP,E2F11
Zm00001d037274,E2F-DP,E2F12
Zm00001d052288,E2F-DP,E2F13
Zm00001d038664,E2F-DP,E2F14
Zm00001d026355,E2F-DP,E2F15
Zm00001d050664,E2F-DP,E2F16
Zm00001d003755,E2F-DP,E2F17
Zm00001d014132,E2F-DP,E2F18
Zm00001d027709,E2F-DP,E2F19
Zm00001d007384,E2F-DP,E2F2
Zm00001d033566,E2F-DP,E2F3
Zm00001d016737,E2F-DP,E2F4
Zm00001d004512,E2F-DP,E2F5
Zm00001d048412,E2F-DP,E2F6
Zm00001d017986,E2F-DP,E2F7
Zm00001d016907,E2F-DP,E2F8
Zm00001d011597,E2F-DP,E2F9
Zm00001d028974,EIL,EIL1
Zm00001d007188,EIL,EIL2
Zm00001d031445,EIL,EIL3
Zm00001d020939,EIL,EIL4
Zm00001d050861,EIL,EIL5
Zm00001d022530,EIL,EIL6
Zm00001d003451,EIL,EIL7
Zm00001d016924,EIL,EIL8
Zm00001d000179,AP2-EREBP,EREB1
Zm00001d017591,AP2-EREBP,EREB10
Zm00001d038446,AP2-EREBP,EREB100
Zm00001d028017,AP2-EREBP,EREB101
Zm00001d020595,AP2-EREBP,EREB102
Zm00001d039424,AP2-EREBP,EREB103
Zm00001d017480,AP2-EREBP,EREB104
Zm00001d002618,AP2-EREBP,EREB105
Zm00001d048991,AP2-EREBP,EREB106
Zm00001d017466,AP2-EREBP,EREB107
Zm00001d031499,AP2-EREBP,EREB108
Zm00001d020267,AP2-EREBP,EREB109
Zm00001d034629,AP2-EREBP,EREB11
Zm00001d010987,AP2-EREBP,EREB110
Zm00001d053195,AP2-EREBP,EREB111
Zm00001d030513,AP2-EREBP,EREB112
Zm00001d010175,AP2-EREBP,EREB113
Zm00001d018731,AP2-EREBP,EREB114
Zm00001d021208,AP2-EREBP,EREB115
Zm00001d021089,AP2-EREBP,EREB116
Zm00001d011134,AP2-EREBP,EREB117
Zm00001d008546,AP2-EREBP,EREB118
Zm00001d031673,AP2-EREBP,EREB119
Zm00001d009622,AP2-EREBP,EREB12
Zm00001d019230,AP2-EREBP,EREB121
Zm00001d045204,AP2-EREBP,EREB122
Zm00001d028068,AP2-EREBP,EREB123
Zm00001d048297,AP2-EREBP,EREB124
Zm00001d025298,AP2-EREBP,EREB125
Zm00001d043782,AP2-EREBP,EREB126
Zm00001d051451,AP2-EREBP,EREB127
Zm00001d019475,AP2-EREBP,EREB128
Zm00001d016616,AP2-EREBP,EREB129
Zm00001d052152,AP2-EREBP,EREB13
Zm00001d027878,AP2-EREBP,EREB130
Zm00001d003884,AP2-EREBP,EREB131
Zm00001d050948,AP2-EREBP,EREB132
Zm00001d038320,AP2-EREBP,EREB133
Zm00001d043491,AP2-EREBP,EREB134
Zm00001d036251,AP2-EREBP,EREB135
Zm00001d018191,AP2-EREBP,EREB136
Zm00001d031861,AP2-EREBP,EREB137
Zm00001d015639,AP2-EREBP,EREB138
Zm00001d018158,AP2-EREBP,EREB139
Zm00001d052087,AP2-EREBP,EREB14
Zm00001d050137,AP2-EREBP,EREB140
Zm00001d041981,AP2-EREBP,EREB141
