B73_V4_GeneID,Mo17_CAU_GeneID
Zm00001d027686,Zm00014a030713
Zm00001d027688,Zm00014a030703
Zm00001d027691,Zm00014a030712
Zm00001d027694,Zm00014a030711
Zm00001d027695,Zm00014a030701
Zm00001d027696,Zm00014a030709
Zm00001d027698,Zm00014a030708
Zm00001d027699,Zm00014a030700
Zm00001d027700,Zm00014a030696
Zm00001d027701,Zm00014a030695
Zm00001d027703,Zm00014a030692
Zm00001d027705,Zm00014a030691
Zm00001d027706,Zm00014a030698
Zm00001d027707,Zm00014a030690
Zm00001d027708,Zm00014a030689
Zm00001d027709,Zm00014a030697
Zm00001d027710,Zm00014a030688
Zm00001d027711,Zm00014a030684
Zm00001d027714,Zm00014a030686
Zm00001d027715,Zm00014a030685
Zm00001d027718,Zm00014a030682
Zm00001d027719,Zm00014a030681
Zm00001d027720,Zm00014a030674
Zm00001d027721,Zm00014a030673
Zm00001d027722,Zm00014a030680
Zm00001d027723,Zm00014a030672
Zm00001d027726,Zm00014a030678
Zm00001d027727,Zm00014a030677
Zm00001d027728,Zm00014a030676
Zm00001d027729,Zm00014a030671
Zm00001d027732,Zm00014a030670
Zm00001d027734,Zm00014a030675
Zm00001d027738,Zm00014a043918
Zm00001d027739,Zm00014a043912
Zm00001d027740,Zm00014a043911
Zm00001d027741,Zm00014a043917
Zm00001d027742,Zm00014a043910
Zm00001d027743,Zm00014a043916
Zm00001d027744,Zm00014a043915
Zm00001d027745,Zm00014a043914
Zm00001d027746,Zm00014a043909
Zm00001d027747,Zm00014a043908
Zm00001d027748,Zm00014a043907
Zm00001d027749,Zm00014a043905
Zm00001d027752,Zm00014a043902
Zm00001d027752,Zm00014a043901
Zm00001d027753,Zm00014a023466
Zm00001d027755,Zm00014a023465
Zm00001d027756,Zm00014a023463
Zm00001d027759,Zm00014a023462
Zm00001d027760,Zm00014a013476
Zm00001d027762,Zm00014a013477
Zm00001d027763,Zm00014a013478
Zm00001d027766,Zm00014a013479
Zm00001d027767,Zm00014a013480
Zm00001d027768,Zm00014a013481
Zm00001d027769,Zm00014a013482
Zm00001d027772,Zm00014a013492
Zm00001d027775,Zm00014a013486
Zm00001d027789,Zm00014a013494
Zm00001d027790,Zm00014a013496
Zm00001d027792,Zm00014a013498
Zm00001d027799,Zm00014a013502
Zm00001d027800,Zm00014a013503
Zm00001d027801,Zm00014a013505
Zm00001d027802,Zm00014a013507
Zm00001d027803,Zm00014a013508
Zm00001d027805,Zm00014a013506
Zm00001d027807,Zm00014a013509
Zm00001d027808,Zm00014a013510
Zm00001d027809,Zm00014a013517
Zm00001d027810,Zm00014a013518
Zm00001d027811,Zm00014a013511
Zm00001d027812,Zm00014a013512
Zm00001d027815,Zm00014a013519
Zm00001d027816,Zm00014a013513
Zm00001d027819,Zm00014a013516
Zm00001d027824,Zm00014a010409
Zm00001d027826,Zm00014a010399
Zm00001d027827,Zm00014a010408
Zm00001d027831,Zm00014a010407
Zm00001d027832,Zm00014a010398
Zm00001d027835,Zm00014a010406
Zm00001d027837,Zm00014a010397
Zm00001d027838,Zm00014a010396
Zm00001d027839,Zm00014a010405
Zm00001d027841,Zm00014a010404
Zm00001d027842,Zm00014a010395
Zm00001d027843,Zm00014a010403
Zm00001d027845,Zm00014a010402
Zm00001d027846,Zm00014a010393
Zm00001d027847,Zm00014a010392
Zm00001d027848,Zm00014a010391
Zm00001d027850,Zm00014a010390
Zm00001d027851,Zm00014a010389
Zm00001d027852,Zm00014a010382
Zm00001d027853,Zm00014a010388
Zm00001d027854,Zm00014a010380
Zm00001d027855,Zm00014a010379
Zm00001d027856,Zm00014a010387
Zm00001d027858,Zm00014a010383
Zm00001d027859,Zm00014a010378
Zm00001d027860,Zm00014a010376
Zm00001d027861,Zm00014a010377
Zm00001d027862,Zm00014a010375
Zm00001d027863,Zm00014a010374
Zm00001d027866,Zm00014a010372
Zm00001d027868,Zm00014a010371
Zm00001d027869,Zm00014a010370
Zm00001d027870,Zm00014a010368
Zm00001d027871,Zm00014a010366
Zm00001d027872,Zm00014a010367
Zm00001d027873,Zm00014a010365
Zm00001d027874,Zm00014a010362
Zm00001d027875,Zm00014a010364
Zm00001d027876,Zm00014a010363
Zm00001d027877,Zm00014a010361
Zm00001d027878,Zm00014a010360
Zm00001d027879,Zm00014a010359
Zm00001d027880,Zm00014a010357
Zm00001d027881,Zm00014a010351
Zm00001d027883,Zm00014a010355
Zm00001d027884,Zm00014a010350
Zm00001d027885,Zm00014a010354
Zm00001d027886,Zm00014a010349
Zm00001d027888,Zm00014a010348
Zm00001d027890,Zm00014a010353
Zm00001d027892,Zm00014a010352
Zm00001d027893,Zm00014a010347
Zm00001d027894,Zm00014a010346
Zm00001d027895,Zm00014a010345
Zm00001d027896,Zm00014a010340
Zm00001d027897,Zm00014a010344
Zm00001d027898,Zm00014a010339
Zm00001d027899,Zm00014a010332
Zm00001d027900,Zm00014a010338
Zm00001d027901,Zm00014a010337
Zm00001d027903,Zm00014a010336
Zm00001d027904,Zm00014a010335
Zm00001d027907,Zm00014a010334
Zm00001d027908,Zm00014a010333
Zm00001d027916,Zm00014a010329
Zm00001d027919,Zm00014a010325
Zm00001d027921,Zm00014a010328
Zm00001d027922,Zm00014a010324
Zm00001d027924,Zm00014a032022
Zm00001d027925,Zm00014a032021
Zm00001d027932,Zm00014a032018
Zm00001d027934,Zm00014a032034
Zm00001d027936,Zm00014a032033
Zm00001d027936,Zm00014a032032
Zm00001d027937,Zm00014a032031
Zm00001d027938,Zm00014a032030
Zm00001d027939,Zm00014a032016
Zm00001d027941,Zm00014a032029
Zm00001d027943,Zm00014a032028
Zm00001d027944,Zm00014a032027
Zm00001d027946,Zm00014a032015
Zm00001d027947,Zm00014a032024
Zm00001d027950,Zm00014a032012
Zm00001d027954,Zm00014a032011
Zm00001d027957,Zm00014a032004
Zm00001d027962,Zm00014a032010
Zm00001d027963,Zm00014a032009
Zm00001d027965,Zm00014a032007
Zm00001d027966,Zm00014a032002
Zm00001d027967,Zm00014a032006
Zm00001d027969,Zm00014a031998
Zm00001d027973,Zm00014a031996
Zm00001d027975,Zm00014a031991
Zm00001d027976,Zm00014a031995
Zm00001d027978,Zm00014a031990
Zm00001d027980,Zm00014a006209
Zm00001d027982,Zm00014a006205
Zm00001d027983,Zm00014a006210
Zm00001d027987,Zm00014a006206
Zm00001d027988,Zm00014a006214
Zm00001d027991,Zm00014a029082
Zm00001d027992,Zm00014a029083
Zm00001d027993,Zm00014a029085
Zm00001d027994,Zm00014a029086
Zm00001d027995,Zm00014a029087
Zm00001d027996,Zm00014a016319
Zm00001d027998,Zm00014a016320
Zm00001d027999,Zm00014a016317
Zm00001d028002,Zm00014a016312
Zm00001d028004,Zm00014a016310
Zm00001d028005,Zm00014a016309
Zm00001d028006,Zm00014a016308
Zm00001d028007,Zm00014a016303
Zm00001d028009,Zm00014a016301
Zm00001d028010,Zm00014a016299
Zm00001d028011,Zm00014a016298
Zm00001d028012,Zm00014a016307
Zm00001d028013,Zm00014a016297
Zm00001d028014,Zm00014a016296
Zm00001d028015,Zm00014a016306
Zm00001d028017,Zm00014a016295
Zm00001d028018,Zm00014a016294
Zm00001d028019,Zm00014a016305
Zm00001d028020,Zm00014a016304
Zm00001d028022,Zm00014a016293
Zm00001d028024,Zm00014a016292
Zm00001d028025,Zm00014a016288
Zm00001d028031,Zm00014a016291
Zm00001d028034,Zm00014a016290
Zm00001d028035,Zm00014a016287
Zm00001d028038,Zm00014a016285
Zm00001d028039,Zm00014a016284
Zm00001d028040,Zm00014a016282
Zm00001d028043,Zm00014a016281
Zm00001d028045,Zm00014a016279
Zm00001d028046,Zm00014a016276
Zm00001d028050,Zm00014a016278
Zm00001d028051,Zm00014a016275
Zm00001d028053,Zm00014a016273
Zm00001d028054,Zm00014a016272
Zm00001d028055,Zm00014a016265
Zm00001d028056,Zm00014a016271
Zm00001d028064,Zm00014a016270
Zm00001d028071,Zm00014a016269
Zm00001d028072,Zm00014a016268
Zm00001d028073,Zm00014a016267
Zm00001d028074,Zm00014a016255
Zm00001d028075,Zm00014a016253
Zm00001d028084,Zm00014a016250
Zm00001d028085,Zm00014a016249
Zm00001d028086,Zm00014a0162480
Zm00001d028088,Zm00014a016245
Zm00001d028089,Zm00014a016239
Zm00001d028091,Zm00014a016243
Zm00001d028092,Zm00014a016242
Zm00001d028093,Zm00014a016233
Zm00001d028094,Zm00014a016232
Zm00001d028096,Zm00014a016231
Zm00001d028097,Zm00014a016236
Zm00001d028098,Zm00014a016234
Zm00001d028102,Zm00014a016229
Zm00001d028103,Zm00014a016228
Zm00001d028104,Zm00014a016225
Zm00001d028105,Zm00014a016227
Zm00001d028107,Zm00014a016224
Zm00001d028109,Zm00014a016226
Zm00001d028111,Zm00014a016220
Zm00001d028112,Zm00014a016219
Zm00001d028113,Zm00014a016218
Zm00001d028114,Zm00014a016217
Zm00001d028115,Zm00014a016215
Zm00001d028117,Zm00014a016214
Zm00001d028118,Zm00014a016213
Zm00001d028120,Zm00014a016212
Zm00001d028122,Zm00014a016216
Zm00001d028125,Zm00014a016210
Zm00001d028128,Zm00014a016209
Zm00001d028129,Zm00014a016207
Zm00001d028130,Zm00014a016204
Zm00001d028139,Zm00014a016196
Zm00001d028143,Zm00014a016200
Zm00001d028151,Zm00014a016188
Zm00001d028152,Zm00014a016193
Zm00001d028153,Zm00014a016192
Zm00001d028154,Zm00014a016191
Zm00001d028159,Zm00014a016187
Zm00001d028160,Zm00014a016183
Zm00001d028161,Zm00014a016186
Zm00001d028162,Zm00014a016178
Zm00001d028164,Zm00014a016181
Zm00001d028165,Zm00014a016177
Zm00001d028167,Zm00014a016175
Zm00001d028168,Zm00014a016173
Zm00001d028169,Zm00014a016172
Zm00001d028170,Zm00014a016171
Zm00001d028171,Zm00014a016170
Zm00001d028172,Zm00014a016168
Zm00001d028173,Zm00014a016167
Zm00001d028175,Zm00014a016165
Zm00001d028177,Zm00014a016157
Zm00001d028180,Zm00014a016164
Zm00001d028181,Zm00014a016163
Zm00001d028182,Zm00014a016162
Zm00001d028183,Zm00014a016156
Zm00001d028185,Zm00014a016155
Zm00001d028186,Zm00014a016161
Zm00001d028187,Zm00014a016160
Zm00001d028188,Zm00014a016154
Zm00001d028189,Zm00014a016153
Zm00001d028191,Zm00014a016158
Zm00001d028193,Zm00014a016152
Zm00001d028194,Zm00014a016148
Zm00001d028195,Zm00014a016147
Zm00001d028196,Zm00014a016146
Zm00001d028197,Zm00014a016145
Zm00001d028199,Zm00014a016151
Zm00001d028203,Zm00014a016149
Zm00001d028210,Zm00014a016136
Zm00001d028211,Zm00014a016135
Zm00001d028213,Zm00014a016134
Zm00001d028214,Zm00014a016133
Zm00001d028216,Zm00014a016131
Zm00001d028217,Zm00014a016128
Zm00001d028218,Zm00014a016127
Zm00001d028219,Zm00014a016130
Zm00001d028220,Zm00014a016129
Zm00001d028221,Zm00014a016124
Zm00001d028222,Zm00014a016123
Zm00001d028225,Zm00014a016122
Zm00001d028226,Zm00014a016119
Zm00001d028227,Zm00014a016121
Zm00001d028228,Zm00014a016118
Zm00001d028229,Zm00014a016120
Zm00001d028230,Zm00014a016117
Zm00001d028231,Zm00014a018698
Zm00001d028232,Zm00014a018702
Zm00001d028233,Zm00014a018700
Zm00001d028235,Zm00014a018707
Zm00001d028237,Zm00014a018704
Zm00001d028238,Zm00014a018709
Zm00001d028240,Zm00014a018706
Zm00001d028241,Zm00014a018711
Zm00001d028243,Zm00014a032913
Zm00001d028245,Zm00014a032912
Zm00001d028244,Zm00014a032906
Zm00001d028248,Zm00014a032904
Zm00001d028252,Zm00014a032910
Zm00001d028256,Zm00014a032903
Zm00001d028257,Zm00014a032902
Zm00001d028258,Zm00014a032899
Zm00001d028260,Zm00014a032898
Zm00001d028261,Zm00014a032897
Zm00001d028263,Zm00014a004719
Zm00001d028264,Zm00014a004718
Zm00001d028265,Zm00014a004722
Zm00001d028266,Zm00014a004727
Zm00001d028267,Zm00014a004728
Zm00001d028268,Zm00014a004724
Zm00001d028269,Zm00014a004725
Zm00001d028272,Zm00014a004726
Zm00001d028273,Zm00014a004729
Zm00001d028274,Zm00014a004730
Zm00001d028275,Zm00014a004731
Zm00001d028278,Zm00014a004735
Zm00001d028279,Zm00014a004736
Zm00001d028280,Zm00014a004737
Zm00001d028282,Zm00014a004739
Zm00001d028284,Zm00014a004741
Zm00001d028285,Zm00014a004742
Zm00001d028286,Zm00014a004743
Zm00001d028287,Zm00014a004750
Zm00001d028288,Zm00014a004751
Zm00001d028293,Zm00014a004746
Zm00001d028294,Zm00014a004747
Zm00001d028296,Zm00014a004748
Zm00001d028297,Zm00014a004749
Zm00001d028298,Zm00014a004754
Zm00001d028299,Zm00014a004755
Zm00001d028303,Zm00014a004756
Zm00001d028304,Zm00014a004757
Zm00001d028307,Zm00014a004766
Zm00001d028308,Zm00014a004758
Zm00001d028309,Zm00014a004760
Zm00001d028311,Zm00014a004762
Zm00001d028313,Zm00014a004764
Zm00001d028317,Zm00014a013320
Zm00001d028319,Zm00014a013321
Zm00001d028320,Zm00014a013323
Zm00001d028325,Zm00014a013328
Zm00001d028331,Zm00014a013330
Zm00001d028332,Zm00014a013335
Zm00001d028337,Zm00014a013337
Zm00001d028338,Zm00014a013331
Zm00001d028339,Zm00014a013338
Zm00001d028341,Zm00014a013332
Zm00001d028344,Zm00014a013339
Zm00001d028347,Zm00014a009222
Zm00001d028348,Zm00014a009215
Zm00001d028349,Zm00014a009214
Zm00001d028352,Zm00014a009221
Zm00001d028354,Zm00014a009210
Zm00001d028355,Zm00014a009209
Zm00001d028356,Zm00014a009220
Zm00001d028357,Zm00014a009219
Zm00001d028358,Zm00014a009218
Zm00001d028359,Zm00014a009208
Zm00001d028360,Zm00014a009207
Zm00001d028361,Zm00014a009204
Zm00001d028362,Zm00014a009206
Zm00001d028363,Zm00014a009201
Zm00001d028365,Zm00014a009200
Zm00001d028366,Zm00014a009190
Zm00001d028368,Zm00014a009198
Zm00001d028369,Zm00014a009197
Zm00001d028370,Zm00014a009196
Zm00001d028371,Zm00014a009188
Zm00001d028372,Zm00014a009187
Zm00001d028373,Zm00014a037874
Zm00001d028374,Zm00014a037875
Zm00001d028375,Zm00014a037876
Zm00001d028377,Zm00014a037870
Zm00001d028380,Zm00014a037872
Zm00001d028384,Zm00014a002486
Zm00001d028385,Zm00014a002487
Zm00001d028386,Zm00014a002490
Zm00001d028388,Zm00014a002491
Zm00001d028389,Zm00014a002492
Zm00001d028391,Zm00014a002497
Zm00001d028396,Zm00014a002499
Zm00001d028397,Zm00014a002493
Zm00001d028399,Zm00014a002501
Zm00001d028400,Zm00014a002496
Zm00001d028401,Zm00014a002502
Zm00001d028404,Zm00014a002505
Zm00001d028405,Zm00014a002506
Zm00001d028406,Zm00014a002507
Zm00001d028408,Zm00014a002503
Zm00001d028409,Zm00014a002508
Zm00001d028410,Zm00014a002509
Zm00001d028412,Zm00014a002504
Zm00001d028413,Zm00014a002510
Zm00001d028414,Zm00014a002512
Zm00001d028415,Zm00014a023285
Zm00001d028416,Zm00014a023284
Zm00001d028417,Zm00014a023276
Zm00001d028419,Zm00014a023275
Zm00001d028422,Zm00014a023282
Zm00001d028423,Zm00014a023281
Zm00001d028424,Zm00014a023280
Zm00001d028425,Zm00014a023279
Zm00001d028426,Zm00014a023278
Zm00001d028427,Zm00014a023277
Zm00001d028428,Zm00014a023267
Zm00001d028429,Zm00014a023266
Zm00001d028431,Zm00014a023265
Zm00001d028432,Zm00014a023260
Zm00001d028436,Zm00014a023263
Zm00001d028437,Zm00014a023259
Zm00001d028438,Zm00014a023262
Zm00001d028439,Zm00014a023261
Zm00001d028440,Zm00014a023256
Zm00001d028443,Zm00014a023255
Zm00001d028445,Zm00014a023254
Zm00001d028447,Zm00014a023258
Zm00001d028450,Zm00014a023252
Zm00001d028451,Zm00014a023251
Zm00001d028452,Zm00014a011983
Zm00001d028454,Zm00014a011998
Zm00001d028455,Zm00014a011997
Zm00001d028456,Zm00014a011996
Zm00001d028457,Zm00014a011995
Zm00001d028458,Zm00014a011982
Zm00001d028463,Zm00014a011994
Zm00001d028464,Zm00014a011992
Zm00001d028512,Zm00014a003890
Zm00001d028513,Zm00014a003891
Zm00001d028514,Zm00014a030471
Zm00001d028515,Zm00014a030472
Zm00001d028522,Zm00014a031956
Zm00001d028524,Zm00014a031959
Zm00001d028525,Zm00014a031960
Zm00001d028526,Zm00014a031957
Zm00001d028527,Zm00014a009712
Zm00001d028528,Zm00014a009713
Zm00001d028529,Zm00014a009710
Zm00001d028531,Zm00014a018577
Zm00001d028532,Zm00014a018578
Zm00001d028533,Zm00014a018579
Zm00001d028534,Zm00014a018585
Zm00001d028535,Zm00014a018580
Zm00001d028536,Zm00014a018587
Zm00001d028538,Zm00014a018590
Zm00001d028570,Zm00014a024885
Zm00001d028571,Zm00014a024886
Zm00001d028572,Zm00014a009652
Zm00001d028575,Zm00014a009653
Zm00001d028576,Zm00014a032704
Zm00001d028577,Zm00014a032705
Zm00001d028579,Zm00014a032707
Zm00001d028584,Zm00014a032716
Zm00001d028585,Zm00014a032710
Zm00001d028586,Zm00014a032711
Zm00001d028587,Zm00014a032713
Zm00001d028588,Zm00014a032717
Zm00001d028590,Zm00014a032714
Zm00001d028591,Zm00014a032715
Zm00001d028593,Zm00014a032718
Zm00001d028596,Zm00014a032719
Zm00001d028598,Zm00014a032722
Zm00001d028599,Zm00014a032723
Zm00001d028601,Zm00014a032720
Zm00001d028603,Zm00014a032725
Zm00001d028606,Zm00014a001297
Zm00001d028608,Zm00014a020971
Zm00001d028612,Zm00014a020972
Zm00001d028613,Zm00014a020973
Zm00001d028615,Zm00014a034820
Zm00001d028616,Zm00014a034822
Zm00001d028618,Zm00014a034823
Zm00001d028619,Zm00014a034821
Zm00001d028620,Zm00014a034825
Zm00001d028622,Zm00014a034827
Zm00001d028623,Zm00014a034824
Zm00001d028625,Zm00014a034828
Zm00001d028630,Zm00014a034829
Zm00001d028631,Zm00014a034834
Zm00001d028639,Zm00014a034835
Zm00001d028641,Zm00014a034836
Zm00001d028642,Zm00014a034837
Zm00001d028643,Zm00014a034830
Zm00001d028647,Zm00014a034839
Zm00001d028649,Zm00014a034831
Zm00001d028651,Zm00014a034840
Zm00001d028653,Zm00014a034832
Zm00001d028654,Zm00014a034833
Zm00001d028660,Zm00014a030339
Zm00001d028661,Zm00014a030336
Zm00001d028662,Zm00014a030335
Zm00001d028664,Zm00014a030333
Zm00001d028667,Zm00014a030327
Zm00001d028668,Zm00014a030330
Zm00001d028669,Zm00014a030329
Zm00001d028669,Zm00014a030329
Zm00001d028670,Zm00014a030328
Zm00001d028671,Zm00014a030326
Zm00001d028672,Zm00014a030325
Zm00001d028673,Zm00014a030323
Zm00001d028675,Zm00014a030322
Zm00001d028676,Zm00014a030320
Zm00001d028679,Zm00014a030318
Zm00001d028680,Zm00014a030317
